Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/embed/siCf8EW3_MA-109,50,165,127,332,61.02,0.000%,.67236,18.52,0.36,28203.1
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5086&AID=35&zx=vbtaapv6czpy&t=1-111,50,103,81,220,22.04,100.000%,.67264,1.26,0.57,1914.0
/$rpc/google.internal.waa.v1.Waa/Create-112,50,42,29,229,38.71,0.000%,.67204,20.81,0.40,31705.0
/$rpc/google.internal.waa.v1.Waa/Create-113,50,42,27,200,39.28,0.000%,.67202,20.78,0.40,31667.0
/$rpc/google.internal.waa.v1.Waa/Create-114,50,48,28,179,43.30,0.000%,.67204,20.79,0.40,31673.4
/$rpc/google.internal.waa.v1.Waa/GenerateIT-115,50,21,17,39,4.28,0.000%,.67376,0.53,1.12,812.2
/$rpc/google.internal.waa.v1.Waa/Create-116,50,51,29,212,53.87,0.000%,.67365,20.85,0.40,31698.0
/$rpc/google.internal.waa.v1.Waa/GenerateIT-118,50,23,17,206,26.12,0.000%,.67375,0.54,1.28,825.0
/$rpc/google.internal.waa.v1.Waa/GenerateIT-119,50,20,18,31,2.56,0.000%,.67376,0.53,1.12,806.9
/WuQZoHDpLlVIpcIhd9IQo-tkqOXDn_K1oKsXziGOONnLqdLKHLzpkYVys9YybRzn8jmOC_ak=s68-c-k-c0x00ffffff-no-rj-117,50,70,60,234,23.73,0.000%,.67182,2.40,0.31,3664.0
/$rpc/google.internal.waa.v1.Waa/Create-120,50,35,28,67,8.63,0.000%,.67150,20.76,0.40,31656.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-121,50,22,17,60,7.87,0.000%,.67160,0.53,1.23,815.5
/$rpc/google.internal.waa.v1.Waa/GenerateIT-122,50,22,17,160,19.70,0.000%,.67165,0.54,0.95,822.6
/generate_204-123,50,56,54,95,6.77,0.000%,.67131,0.12,0.29,184.0
/generate_204-124,50,60,54,248,27.64,0.000%,.67130,0.12,0.29,184.0
/generate_204-125,50,55,54,63,1.90,0.000%,.67286,0.12,0.29,184.0
/Playback/Comment-126,50,29,22,56,7.87,0.000%,.67309,3.22,1.03,4892.6
/punctual/multi-watch/channel?VER=8&gsessionid=XQpx5hPciMwUyDz5ZkJoVxQ6wttpNMZQZy3ulNQZS84&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=o21hrjegJJi_R7VmToQhCA&AID=37&CI=0&TYPE=xmlhttp&zx=gc8s8jmth43&t=2-127,50,98,87,219,17.92,0.000%,.67135,0.30,0.59,462.0
/punctual/multi-watch/channel-20,50,2495,107,60216,10368.24,0.000%,.41822,0.50,0.33,1217.9
/v1/profile-130,50,87,60,259,46.67,0.000%,.42144,0.37,0.52,894.0
/1.5/162663299/storage/tabs?batch=true&commit=true-129,50,1453,76,2920,583.06,88.000%,.42147,0.17,1.31,417.6
/punctual/multi-watch/channel?VER=8&gsessionid=VyhGZS-JoAvapysVaFcUZQ_p52YBGeCEE2cfs-I1tgk&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=bpHnl7eAqA6TntDYH7FL1Q&AID=39&CI=0&TYPE=xmlhttp&zx=z1boq16ymoye&t=4-131,50,94,86,216,25.75,0.000%,.42207,0.19,0.37,462.0
/Playback/Comment?songId=2-133,50,277,171,479,74.59,0.000%,.42086,2.53,1.49,6157.2
/Playback-134,50,67,40,96,16.13,0.000%,.42069,2.42,0.64,5901.6
/embed/ZQQ_4lnab1c-138,50,171,125,295,55.81,0.000%,.42080,11.86,0.23,28867.5
/embed/kZqQajj1oec-135,50,146,131,232,19.31,0.000%,.42079,11.72,0.23,28531.9
/embed/uD8d1KrDQcY-137,50,158,135,213,17.72,0.000%,.42007,11.61,0.23,28291.2
/embed/siCf8EW3_MA-139,50,143,122,213,18.15,0.000%,.42050,11.56,0.23,28152.9
/embed/uD8d1KrDQcY-136,50,162,138,332,43.08,0.000%,.42059,11.60,0.23,28245.0
/$rpc/google.internal.waa.v1.Waa/Create-140,50,49,28,190,44.15,0.000%,.42145,13.04,0.25,31678.7
/submit/firefox-desktop/pageload/1/e263712d-5429-4f25-9a86-6e3885cfefba-141,50,95,63,274,30.61,0.000%,.42123,0.34,1.26,821.1
/$rpc/google.internal.waa.v1.Waa/Create-142,50,35,28,161,18.76,0.000%,.42141,13.02,0.25,31644.4
/$rpc/google.internal.waa.v1.Waa/Create-143,50,34,28,85,9.35,0.000%,.42144,13.05,0.25,31701.7
/$rpc/google.internal.waa.v1.Waa/Create-144,50,32,28,52,3.99,0.000%,.42147,13.03,0.25,31649.0
/$rpc/google.internal.waa.v1.Waa/GenerateIT-145,50,20,17,29,2.02,0.000%,.42154,0.34,0.68,831.6
/$rpc/google.internal.waa.v1.Waa/GenerateIT-146,50,20,17,37,2.79,0.000%,.42154,0.33,0.59,793.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-147,50,20,17,31,2.25,0.000%,.42154,0.34,0.61,818.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-148,50,21,17,34,3.38,0.000%,.42157,0.33,0.78,807.3
/$rpc/google.internal.waa.v1.Waa/Create-149,50,34,27,60,5.70,0.000%,.42230,13.05,0.25,31655.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-150,50,21,17,35,3.23,0.000%,.42181,0.34,0.71,824.4
/generate_204-151,50,55,54,70,2.30,0.000%,.42169,0.08,0.18,184.0
/generate_204-152,50,55,54,66,1.81,0.000%,.42174,0.08,0.18,184.0
/generate_204-153,50,59,54,210,21.72,0.000%,.42174,0.08,0.18,184.0
/generate_204-154,50,55,54,57,0.70,0.000%,.42173,0.08,0.18,184.0
/generate_204-155,50,56,54,65,2.42,0.000%,.42241,0.08,0.18,184.0
/punctual/multi-watch/channel?VER=8&gsessionid=9ygxndxkKL0Y4fednrJGhv0dUFccxWjkRcjPsPIERAM&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=JcaZElZN4XX_pHggfDsiLw&AID=36&CI=0&TYPE=xmlhttp&zx=i9f7o0k5ja6f&t=2-156,50,91,86,244,21.87,0.000%,.42228,0.19,0.37,462.0
/1.5/162663299/storage/tabs?batch=true&commit=true-158,50,1291,73,2321,467.48,86.000%,.42191,0.17,1.30,421.6
/punctual/multi-watch/channel-42,50,3134,114,46693,10829.28,0.000%,.30643,0.31,0.25,1037.6
/dynamite/images/cleardot.gif-159,50,106,57,211,63.57,0.000%,.30820,0.26,0.13,852.1
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5087&AID=35&zx=cprbz62zclp1&t=1-160,50,112,83,231,28.61,100.000%,.30788,0.58,0.26,1914.0
/generate_204-161,50,60,54,177,23.24,0.000%,.30770,0.06,0.13,184.0
/generate_204-162,50,55,54,65,1.95,0.000%,.30807,0.06,0.13,184.0
/generate_204-163,50,56,54,67,2.81,0.000%,.30807,0.06,0.13,184.0
/generate_204-164,50,57,54,151,13.40,0.000%,.30807,0.06,0.13,184.0
/generate_204-165,50,57,54,154,14.66,0.000%,.30784,0.06,0.13,184.0
/generate_204-166,50,56,54,90,6.52,0.000%,.30784,0.06,0.13,184.0
/u/1/_/DynamiteWebUi/idv/-167,50,96,89,114,4.54,0.000%,.30775,0.50,0.21,1670.8
/generate_204-168,50,56,54,69,3.61,0.000%,.30805,0.06,0.13,184.0
TOTAL,8250,186,16,64558,1432.32,8.703%,43.49820,466.15,40.44,10973.7
